id,従属変数,独立変数,変数,因果関係
1,4,1,5,1
2,2,2,4,1
3,3,1,4,0
4,1,2,3,0
5,3,2,5,1
6,3,4,7,1
7,3,1,4,1
8,2,3,5,0
9,3,1,4,0
10,3,2,5,0
11,3,2,5,1
12,2,1,3,0
13,3,3,6,0
14,6,1,7,1
15,1,1,2,2
16,3,6,9,0
17,1,2,3,0
18,1,0,1,1
19,3,2,5,5
20,2,3,5,2
21,3,1,4,2
22,1,2,3,1
23,3,3,6,1
24,3,1,4,2
25,1,2,3,3
26,4,5,9,3
27,3,2,5,0
28,5,3,8,2
29,2,4,6,3
30,2,1,3,3
31,1,1,2,1
32,5,2,7,2
33,4,2,6,1
34,4,6,10,3
35,3,1,4,0
36,1,0,1,0
37,2,1,3,3
38,4,2,6,1
39,2,1,3,0
40,1,1,2,0
41,0,0,0,0
42,2,1,3,3
43,2,3,5,0
44,2,2,4,0
45,2,1,3,1
46,2,2,4,1
47,2,0,2,2
48,4,2,6,3
49,2,2,4,2
50,1,1,2,3
51,2,2,4,1
52,2,1,3,0
53,2,1,3,1
54,5,2,7,2
55,2,0,2,1
56,2,3,5,3
57,3,2,5,0
58,2,1,3,0
59,4,2,6,1
60,3,3,6,2
61,2,0,2,0
62,1,3,4,2
63,3,2,5,2
64,3,1,4,1
65,2,1,3,1
66,3,2,5,2
67,5,3,8,2
68,3,0,3,2
69,3,1,4,2
70,2,2,4,2
71,0,0,0,0
72,4,2,6,1
73,4,3,7,4
74,1,1,2,0
75,2,1,3,2
76,2,1,3,1
77,2,2,4,1
78,2,1,3,0
79,2,3,5,2
80,2,1,3,3
81,2,1,3,3
82,2,2,4,2
83,2,2,4,1
84,2,2,4,2
85,2,1,3,1
86,1,1,2,0
87,3,2,5,1
88,2,2,4,1
89,2,1,3,0
90,1,2,3,1
91,3,2,5,2
92,2,1,3,4
93,1,3,4,1
94,2,3,5,1
95,1,1,2,2
96,2,4,6,2
97,2,3,5,2
98,1,1,2,1
99,1,2,3,0
100,4,1,5,0
101,2,0,2,0
102,1,2,3,0
103,2,0,2,1
104,2,1,3,1
105,2,1,3,1
106,2,1,3,1